"((-14.0, -14.0, 0.498005505, -0.545220805, -0.514990715, -3.602405355, -0.769147725, 2.022064205, 0.415369215, -1.712907185, 3.048153205, -1.106915005, -1.101987905, -14.0, -14.0, -14.0, -4.370064445, -0.298319975, -14.0, -1.742390625, -14.0, -14.0, -4.477113915, 2.371441975, -2.328044575, -4.161380445, -3.593405825, -14.0, -4.813843755, -0.592689355, -5.659336615, -1.113812465, -14.0, -14.0, -3.338179715, -1.721312865, -0.792031085, -14.0, -4.519231985, -14.0, -14.0, -1.988855395, 0.849748765, -5.937270425, -4.709794945, 2.420834265), 'HF')",8
"((-5.321653778, 1.193261023, -14.0, -4.360751918, 0.480682673, -14.0, -6.345754758, 0.910760523, -14.0, -5.891444238, -14.0, -1.434010668, -1.224018468, -14.0, -14.0, -14.0, -3.879627918, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -7.893543758, -4.251988678, -1.323089948, -14.0, -14.0, -14.0, -2.449983878, -14.0, -1.416366958, -14.0, -14.0, -14.0, -14.0, -0.857478928, -3.624164618, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, 1.793163213), 'PS')",1501
"((-1.923836018, -14.0, 1.371994493, 0.021405473, 0.165454223, -2.328051748, -1.711787768, 1.267469813, -0.161874377, -2.236935518, 3.333023313, 0.694706143, -1.513887278, -14.0, -14.0, -5.108535258, -14.0, -2.262883748, -14.0, -0.466424197, -14.0, -5.069733508, -4.628532688, 1.866187423, -1.902011078, -4.715543948, -14.0, -3.589939918, -14.0, -0.386280747, -14.0, -1.476395738, -4.350053978, -2.951066148, -4.380271738, -0.836918698, -0.965334707, -14.0, -2.378843838, -4.640812608, -14.0, -1.166895458, 1.426755503, -5.447323228, -14.0, 2.276276223), 'HF')",8
"((-2.971535005, -14.0, 3.446291275, 0.655017855, 0.706766995, -2.307724335, -0.520347805, 1.437300555, -1.459478355, -1.754173675, 3.361471995, 0.716293595, -0.574070495, -14.0, -14.0, -14.0, -3.163138065, -2.095313615, -14.0, -3.644478865, -14.0, -1.507112815, -2.747693495, 1.192524935, -0.846005105, -0.180365405, -14.0, 0.393472815, -14.0, 0.539147495, -14.0, -4.142692215, -14.0, -14.0, -5.158313995, -0.191049465, 0.125287395, -14.0, -1.559158845, -14.0, -14.0, -1.875857305, 0.490194525, -3.734915285, -4.490801475, 3.310637825), 'HF')",21
"((-14.0, 0.751196295, -14.0, -14.0, -0.711614205, -14.0, -14.0, -1.157307505, -14.0, -3.497723215, -14.0, 0.029216575, -0.024973405, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -5.263320365, -2.115744545, -14.0, -4.426744875, -14.0, -3.597993325, -6.476832195, -2.019725375, -14.0, -14.0, -14.0, -14.0, -0.741015715, -14.0, -5.031807685, -14.0, -1.409715545, -14.0, -14.0, -14.0, -14.0, 3.472355295), 'NP')",819
"((-14.0, 1.351692908, -14.0, -14.0, -0.359671203, -14.0, -14.0, -1.300749223, -14.0, -4.259940333, -14.0, -0.378856603, -1.271511233, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -4.918838853, -1.324464513, -14.0, -14.0, -14.0, -14.0, -14.0, -2.341372953, -14.0, -14.0, -7.808540893, -14.0, -0.304124552, -14.0, -5.723645923, -14.0, -1.570368273, -14.0, -14.0, -14.0, -14.0, 3.005168708), 'NP')",508
"((-14.0, 1.37654155, -14.0, -5.03689144, 0.31732774, -14.0, -5.87711836, -2.37716257, -14.0, -3.3112845, -14.0, 1.42753471, -0.27649845, -3.7690976, -14.0, -14.0, -14.0, 0.19526846, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -3.02492325, -0.63643344, -14.0, -14.0, -14.0, -14.0, -14.0, -2.73369603, -14.0, -14.0, -6.85718216, -14.0, -0.43705188, -14.0, -5.60660101, -14.0, -1.27811745, -14.0, -14.0, -14.0, -3.43303755, 2.85342017), 'PS')",1449
"((-14.0, 0.128666582, -14.0, -2.780730498, -0.121456528, -14.0, -4.377401438, -0.819549738, -14.0, -3.481001478, -14.0, 0.654920752, -1.068048258, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -4.704202538, -14.0, -14.0, -14.0, -14.0, -2.333306568, -14.0, -1.563968828, -14.0, -14.0, -5.443177218, -14.0, -0.955150418, -14.0, -4.652839798, -14.0, -1.982580458, -2.854466218, -14.0, -14.0, -14.0, 2.640575773), 'NP')",1197
"((-3.862034038, -14.0, 0.863821643, -0.253624058, -0.003510268, -3.975819908, -1.876272018, 0.653257683, 0.439975553, -2.439056008, 2.359954323, 0.760133113, -0.303313448, -14.0, -14.0, -14.0, -14.0, -2.466581078, -14.0, -1.924856318, -14.0, -5.449532628, -14.0, 1.164361303, -3.368055358, -0.496701968, -5.166292328, -0.825559038, -14.0, -3.717564388, -14.0, -1.544001588, -1.989578528, -6.318408728, -3.901445848, -1.880107268, -0.909450167, -14.0, -1.426451128, -3.792574488, -4.696110428, -1.986278288, 0.225397703, -8.585946508, -14.0, 2.456962023), 'NP')",1087
"((-4.14230764, -14.0, 1.26423935, -0.86684124, 0.28613755, -2.4838682, -1.72802583, 0.72776876, -1.78061007, -3.28005888, 3.22924503, 0.15927243, -0.31133615, -14.0, -14.0, -14.0, -3.27011374, -14.0, -14.0, -3.09152198, -14.0, -3.19075037, -2.4555964, 1.00577439, -2.63761561, -2.19260975, -14.0, -0.39897024, -14.0, -2.02213388, -14.0, -1.34294746, -2.28001598, -14.0, -6.91886144, -1.12727416, -0.63994539, -14.0, -2.14727169, -14.0, -14.0, -2.26084061, -0.0348593, -8.06842469, -14.0, 1.6967553), 'HF')",27
"((-4.658120605, -14.0, 3.645182105, -0.005025915, 0.029437305, -2.749162985, -1.244062575, 0.467574175, -0.944885545, -1.678239825, 3.659788795, -0.390497255, -1.786013795, -14.0, -14.0, -5.156369335, -14.0, -2.089938745, -14.0, -14.0, -14.0, -2.174313025, -2.662792755, 1.411842385, -2.211420135, -3.058985875, -5.026091625, -3.575253715, -4.908799285, -0.718377355, -5.361950465, -1.485852655, -2.294037675, -14.0, -4.099040505, -1.090131085, -1.176414525, -4.589201815, -3.183225215, -14.0, -14.0, -1.173773895, 1.160646625, -6.753386235, -14.0, 2.632829875), 'HF')",17
"((-14.0, 0.185762538, -14.0, -3.125055433, -0.374190093, -14.0, -14.0, -3.447009283, -14.0, -3.268131133, -14.0, 0.126516278, -0.123337492, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -5.469222643, -1.026040583, -14.0, -14.0, -14.0, -3.000292813, -5.527733873, -2.688675853, -14.0, -14.0, -14.0, -14.0, 0.267304518, -14.0, -6.983755863, -14.0, -14.0, -14.0, -14.0, -7.896492113, -4.312805493, 2.795561428), 'PS')",1359
"((-14.0, 0.664915983, -14.0, -3.807195668, -0.236777118, -14.0, -6.397243678, -4.288873058, -14.0, -14.0, -14.0, 1.874511463, -0.377118028, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -3.299451128, -14.0, -14.0, -14.0, -1.885982468, -14.0, -2.154507848, -14.0, -14.0, -7.568279888, -14.0, -0.998712297, -14.0, -4.739008248, -14.0, -2.928519118, -14.0, -14.0, -14.0, -14.0, 3.389997263), 'PS')",1384
"((-6.91126494, 0.5029866, -14.0, -14.0, 0.56191505, -14.0, -6.13871685, -0.46174176, -14.0, -14.0, -14.0, -2.02331004, -2.93395995, -14.0, -14.0, -14.0, -4.95329238, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -5.88685859, -14.0, -0.70167624, -14.0, -14.0, -14.0, -1.74632312, -14.0, -1.40986274, -14.0, -14.0, -14.0, -14.0, -2.0310932, -3.78063864, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, 2.87904089), 'PS')",1448
"((-5.10746061, -14.0, -14.0, -3.23158551, 0.49156063, -14.0, -3.81405996, 0.06086128, -3.79543625, -2.61209502, 0.60181039, 1.49568617, -0.8196815, -14.0, -14.0, -14.0, -14.0, -3.23386764, -14.0, -14.0, -14.0, -14.0, -14.0, 1.47474707, -3.91595278, -1.47157262, -4.78440707, -3.81879683, -14.0, -4.01854676, -14.0, -1.14554771, -4.0723709, -14.0, -3.64418008, -14.0, -0.48541742, -14.0, -6.3313898, -3.70417292, -14.0, -1.17998702, -0.56485881, -7.25897348, -3.4745677, 1.1394045), 'PS')",2156
"((-3.302323375, -14.0, 0.306403645, -1.501109245, 0.505891235, -2.130570905, -2.480476305, 0.963659655, -4.759843675, -3.503624335, 2.142208175, -0.397981185, -1.312831765, -3.796938165, -14.0, -2.574695805, -4.702234925, -1.071186085, -14.0, -14.0, -14.0, -2.035722685, -14.0, 0.126568915, -2.973104805, -3.130490935, -3.654237465, -0.227572805, -14.0, -14.0, -14.0, -1.251378295, -2.002634525, -14.0, -4.435356525, -2.261966425, -1.560775585, -2.867031775, -2.188844815, -2.672376425, -14.0, -4.330051065, -0.062712335, -8.759175805, -14.0, 2.306262645), 'NP')",1047
"((-5.430202475, -14.0, -14.0, -2.703931575, 0.562447945, -14.0, -2.038262535, -0.436022525, -2.155073725, -2.588290175, -0.706990845, 1.129217935, -1.167019705, -14.0, -14.0, -14.0, -14.0, -2.972137585, -14.0, -14.0, -14.0, -14.0, -14.0, 0.611325535, -3.111397935, -0.647484845, -14.0, -3.166790075, -14.0, -3.934447385, -14.0, -2.260698695, -14.0, -14.0, -4.654833235, -14.0, -0.483677395, -14.0, -14.0, -14.0, -14.0, -1.890325595, 0.218961125, -5.936447565, -3.420670495, 2.181928145), 'NP')",1410
"((-3.704719393, -14.0, 2.732581298, -0.446011372, 0.114315448, -2.944234173, -2.767740243, 1.173870858, 0.386512408, -2.559956263, 3.879512078, -0.759065782, -1.829153573, -14.0, -14.0, -14.0, -14.0, -1.445148953, -14.0, -3.332982753, -14.0, -4.220634973, -1.684017183, 2.557482058, -2.692632013, -1.152539603, -6.972281753, -1.131468043, -14.0, -3.873643793, -14.0, -0.939390863, -14.0, -14.0, -4.970729843, -0.613441032, -1.357391383, -1.951820283, -14.0, -3.971895083, -3.676745123, -3.085175453, 0.911066228, -6.379949123, -14.0, 2.182466798), 'HF')",8
"((-14.0, -14.0, -14.0, -4.39658597, -0.34845595, -14.0, -6.28503501, -1.76948696, -0.17098609, -3.98062744, -14.0, -0.24789901, -2.16481368, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, -14.0, 0.18312016, -3.3685509, -1.41464944, -14.0, -14.0, -14.0, -14.0, -14.0, -1.76390836, -14.0, -14.0, -14.0, -3.62430325, -0.88572733, -4.73592241, -9.16209061, -14.0, -2.5525537, -14.0, -3.20446636, -5.67720545, -3.99596721, 2.99809164), 'NP')",1478
"((-2.50046518, -14.0, 0.03195768, -1.22652123, -0.06833199, -3.54268038, -2.11774413, 1.28774907, -2.44128212, -2.81510322, 2.72334992, -1.07899736, -2.77973648, -14.0, -14.0, -14.0, -14.0, -1.29025528, -14.0, -3.11488809, -14.0, -14.0, -14.0, 1.49983862, -1.49589208, -1.59744001, -4.16242279, -14.0, -2.83415879, -1.38370134, -14.0, -1.14668714, -14.0, -5.94781172, -3.75641165, -0.54765144, -0.64751305, -4.27812793, -5.53497331, -14.0, -14.0, -2.54450255, 0.42039564, -7.59166938, -14.0, 1.86253218), 'NP')",863
"((-3.90993012, -14.0, 1.96988858, -0.3252462, 0.62457137, -2.55399023, -0.83345957, 1.89258287, -1.92433919, -1.1718036, 3.78279669, 0.92898058, -0.2101302, -14.0, -14.0, -14.0, -14.0, -0.92605915, -14.0, -2.72696461, -14.0, -2.36392277, -14.0, 2.90584422, -1.12534496, -2.96869961, -3.75810425, 0.7467918, -14.0, -0.93313086, -5.42110017, -0.99003615, -14.0, -14.0, -3.84830105, -0.9969851, -1.66729345, -3.08943339, -2.10012404, -14.0, -14.0, -1.25427388, 0.08377744, -14.0, -3.49608259, 2.03275823), 'NP')",1176
