Fate,Progenitor,Cbfa2t3h,Cdh1,Cdh5,Egfl7,Eif2b1,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Mrpl19,Myb,Nfe2,Notch1,Pecam1,Polr2a,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Ubc
4G,NP,-3.243939867,-13.93688847,-0.97423016,-1.87474234,0.019936822,-6.527219235,-2.410307198,0.503424509,-5.299411506,-3.050856701,2.00823871,0.125816338,-0.76697427,-5.140578909,-8.344469715,-2.230934656,-6.304305044,-2.715725221,-14,-6.621567426,-13.96607055,-2.33390026,-6.253590051,-0.032630266,-2.866850792,-1.734032085,-6.816482197,-0.566020541,-12.73792097,-8.451191674,-11.77975622,-1.578973674,-2.165747916,-6.634301959,-7.82049388,-2.769434636,-0.785719615,-6.184970509,-0.676704306,-4.299646974,-13.32623276,-3.428180354,-0.216346748,-9.590367599,-8.453627233,2.344756467
4G,PS,-3.605096215,-13.73509742,-2.349221061,-2.563244159,0.132097659,-8.570032333,-2.353667725,-0.083922817,-6.09374729,-3.601146193,1.908540063,0.01360566,-0.567197535,-4.696716629,-8.801523495,-2.403492506,-4.60844498,-2.992614061,-14,-8.04869546,-14,-2.923354544,-7.973241504,-0.179904696,-3.574178359,-1.930830919,-8.775610533,-1.159778755,-12.91939577,-9.86111743,-12.20945312,-1.401099475,-2.113966599,-6.468821259,-8.319293121,-4.685693919,-1.046295429,-6.785872264,0.051319804,-5.231716048,-13.2117286,-3.691288956,-0.185713278,-8.269900753,-6.518692991,2.315297245
4G,HF,-3.043299807,-13.82828559,2.386728511,-1.296156284,0.1115454,-3.906988487,-2.735530477,1.290728786,-4.213018419,-2.379862388,2.297316009,0.063152819,-0.633588796,-8.161336173,-8.842997618,-2.92276353,-7.031319516,-3.068583281,-13.97223718,-6.291625837,-14,-3.459272144,-4.280762678,0.352037573,-1.53627005,-1.810894438,-8.258825631,-0.230455478,-11.13232262,-3.834442515,-11.51022236,-1.524939586,-2.339574755,-6.70526245,-6.880316842,-1.184761875,-0.841951269,-6.245125122,-0.218113464,-3.529674494,-12.30125878,-4.151199747,-0.12318391,-10.29857507,-10.01456833,2.255345454
4GF,NP,-8.657549441,-7.794269124,-8.770294601,-4.638551037,-0.055288478,-10.58034304,-6.475298081,-0.511838511,-6.326303408,-4.653058238,-5.080108893,0.571729818,-0.603090303,-12.55813906,-13.00039328,-12.07989719,-11.98897132,-7.113418476,-13.95084217,-10.89021323,-14,-10.60831289,-12.23244124,-4.274053231,-5.790315578,-2.151675725,-11.08859043,-8.50194003,-11.88410742,-5.249517829,-12.16724993,-1.733387086,-10.96293508,-12.61077572,-8.327011714,-8.900537837,-0.805558743,-11.61079748,-5.779530727,-11.43447854,-8.717689236,-7.166969047,-5.77482786,-8.685493237,-8.665603119,2.594234306
4GF,PS,-10.15824392,-6.855506767,-9.804955469,-5.16326513,-0.00449363,-11.68425346,-7.090899743,-1.314998086,-7.777647523,-5.255466314,-6.728313681,0.534933404,-0.501065363,-12.39531766,-13.05091405,-12.1674084,-11.43189637,-7.484180997,-13.99166869,-11.82438949,-14,-11.32464399,-12.77386247,-5.384592311,-6.848423796,-2.430613841,-11.39140443,-9.961343682,-11.9385955,-6.701480327,-11.7363234,-1.736096188,-10.73429739,-12.38644205,-9.381705778,-10.24230264,-0.906850234,-12.15703202,-5.07262375,-11.66823495,-10.15014664,-8.127688651,-7.342016229,-9.230410035,-7.335802396,2.647440051
4GF,HF,-6.0643391,-12.07200629,-2.052291391,-1.936186262,-0.121806494,-6.24311604,-3.842913699,0.507164868,-2.573357477,-2.883802776,0.41052549,-0.189121203,-1.219394488,-13.66364868,-13.41300418,-12.41556931,-11.44472142,-3.9821706,-13.96459804,-7.764454831,-13.99399404,-10.74283237,-8.993331108,0.164478651,-2.800584336,-2.052785276,-8.980611179,-4.87509886,-9.842065702,-2.577251817,-12.24469352,-1.614977487,-10.05866629,-12.68696064,-6.031637422,-4.093355868,-0.787621806,-10.42464546,-6.253451323,-10.1348752,-6.701883982,-3.615637741,-1.535252801,-7.985182327,-8.540136381,2.524405787
